POINT_X,POINT_Y,biomass_tha,class_biomass
17.00449511,1.254517401,0,1
15.00449342,0.254523655,0,1
14.50449409,-0.745477036,0,1
14.75449435,-0.99547674,0,1
16.00449199,-0.995475676,0,1
14.50449511,-1.245477392,0,1
16.25449121,-1.2454753,0,1
16.25449125,-1.495474878,0,1
14.50449647,-1.745477756,0,1
14.754496,-1.745477025,0,1
15.00449545,-1.74547638,0,1
15.50449408,-1.745475351,0,1
15.75449326,-1.745474967,0,1
16.00449236,-1.745474669,0,1
16.5044903,-1.745474334,0,1
14.50449728,-1.99547794,0,1
14.75449672,-1.995477123,0,1
15.25449535,-1.995475748,0,1
15.50449454,-1.995475191,0,1
15.75449364,-1.995474721,0,1
14.25449873,-2.245479116,0,1
14.50449817,-2.245478126,0,1
14.75449753,-2.245477223,0,1
15.0044968,-2.245476406,0,1
15.25449599,-2.245475676,0,1
15.50449509,-2.245475033,0,1
15.7544941,-2.245474476,0,1
16.00449303,-2.245474006,0,1
14.25449979,-2.49547939,0,1
14.75449842,-2.495477324,0,1
15.00449761,-2.495476422,0,1
16.0044935,-2.495473678,0,1
14.7544994,-2.745477428,0,1
15.0044985,-2.745476439,0,1
15.25449752,-2.745475537,0,1
15.50449645,-2.745474722,0,1
15.75449529,-2.745473993,0,1
16.00449405,-2.745473351,0,1
12.25450556,-2.995493044,0,1
15.00449948,-2.995476458,0,1
15.25449841,-2.99547547,0,1
15.75449601,-2.995473754,0,1
12.25450757,-3.24549401,0,1
14.5045026,-3.245478887,0,1
15.00450054,-3.245476479,0,1
15.25449939,-3.245475405,0,1
15.50449814,-3.245474418,0,1
15.75449682,-3.245473517,0,1
16.0044954,-3.245472703,0,1
15.00450169,-3.495476501,0,1
15.75449771,-3.495473281,0,1
16.00449621,-3.495472382,0,1
12.50451146,-3.745493749,0,1
12.754511,-3.745491637,0,1
14.50450532,-3.745479278,0,1
15.00450293,-3.745476526,0,1
15.2545016,-3.74547528,0,1
15.50450018,-3.74547412,0,1
15.75449868,-3.745473048,0,1
12.50451364,-3.995494634,0,1
12.75451309,-3.995492436,0,1
13.00451245,-3.995490325,0,1
13.75451002,-3.995484511,0,1
14.00450904,-3.995482746,0,1
14.50450682,-3.995479475,0,1
15.00450425,-3.995476552,0,1
12.75451527,-4.245493237,0,1
13.00451455,-4.24549104,0,1
13.25451374,-4.245488929,0,1
13.75451186,-4.245484968,0,1
14.00451079,-4.245483117,0,1
14.5045084,-4.245479675,0,1
14.75450707,-4.245478084,0,1
15.00450565,-4.245476579,0,1
13.00451673,-4.495491756,0,1
13.25451583,-4.49548956,0,1
14.50451006,-4.495479876,0,1
14.75450865,-4.495478199,0,1
15.00450715,-4.495476609,0,1
13.50451694,-4.745487996,0,1
14.50451181,-4.745480079,0,1
14.75450558,-3.99547797,0.056709612,1
14.50449915,-2.495478314,0.096805177,1
12.00451944,-4.495501405,0.237753789,1
15.50449912,-3.495474268,1.110428465,1
12.25451889,-4.495498863,4.176268347,1
14.50449456,-0.995477213,4.55382523,1
12.00450359,-2.74549402,5.268979118,1
12.25450966,-3.495494978,5.681309403,1
15.75449465,-2.495474234,12.59161361,1
16.00449215,-1.495475003,13.88751989,1
15.00449608,-1.995476392,14.58154108,1
15.50450133,-3.995473975,14.58926299,1
15.25450283,-3.99547522,15.49387527,1
11.75448496,-4.495464842,17.77809404,1
14.75450046,-2.995477533,18.01366101,1
15.25449671,-2.495475606,20.42017123,1
15.25449333,-0.495476218,21.64763241,1
12.50450937,-3.495492866,28.36396994,1
14.75450285,-3.495477748,29.91550299,1
14.75450417,-3.745477858,30.48407356,1
15.2544948,-1.745475822,32.03457986,1
14.25450094,-2.745479665,33.17984954,1
13.50451284,-4.245486905,35.39232533,1
17.75450009,2.254509797,35.48258723,1
14.25450797,-3.995481067,37.2255713,1
15.00449354,-0.495476345,38.5499568,1
14.50450392,-3.495479081,41.69208042,1
16.50449644,1.504518951,42.83416008,1
14.75450161,-3.24547764,46.5155196,1
13.75450827,-3.745484055,47.86562259,1
14.0045029,-2.995481277,48.5290547,1
15.00449405,-0.995476354,49.03571506,1
15.50449303,-0.495476177,49.18901316,1
16.0044941,0.754521913,49.27809109,1
12.00452205,-4.745502465,49.66426609,1
15.25449333,0.004523612,50.64971856,1
12.75450523,-2.995489249,51.90706458,1
18.00448103,2.75452868,55.0666748,1
11.75448395,-3.995466674,55.46784672,1
15.50449319,-0.995475841,56.31285459,1
12.50450544,-2.995491103,56.48534646,1
14.2545049,-3.495480502,57.59810891,1
14.75449536,-1.495476928,58.84611405,1
12.25451645,-4.24549789,59.08455518,1
15.25449345,-0.745476135,60.41389462,1
18.25448297,2.754528729,60.49966496,1
12.25451184,-3.745495947,61.75068727,1
17.25449365,1.004517015,63.11575319,1
17.2544916,0.504518577,64.20478232,1
16.50449375,0.754520527,67.35779441,1
16.00449265,-1.995474337,69.91111745,1
17.50450189,2.504510606,70.52689156,1
11.75448293,-2.745471288,72.41404118,1
14.00449268,2.004525663,73.21758676,1
13.75449161,2.004525963,76.37621665,1
12.75450182,-2.495487665,77.70075437,1
17.00449626,1.504516702,79.05513085,1
18.00448255,1.504523596,85.42633663,1
15.5044932,0.00452348,86.83224598,1
17.75449535,1.504512678,89.85258797,1
15.50449577,1.504522411,90.13082837,1
15.00449355,0.504523652,90.72189865,1
17.75450368,2.754507869,91.0433243,1
14.75449397,-0.745476649,92.36434222,1
14.75451031,-4.745478316,94.18718581,1
15.25449434,-1.495475898,95.54688165,1
16.5044999,2.254517361,96.00085033,1
15.5044937,-1.495475513,96.35520129,1
16.25449277,0.254522133,97.45112112,1
16.25449139,-0.745476148,98.54215621,1
17.50450364,2.754509727,98.5636491,1
15.75449264,-0.495476223,99.26167969,1
16.50449066,-0.745476369,99.96700551,1
16.00449474,1.004521562,101.1046204,2
15.50449342,0.254523306,101.5628683,2
17.25449604,1.504515447,103.7355499,2
12.75450348,-2.745488457,104.6612579,2
16.50449031,-1.245475348,105.3648275,2
16.75449879,2.004516639,105.8180051,2
12.75449875,-1.995486087,106.9496923,2
13.25450149,-2.495484561,107.3361959,2
16.75450011,2.254516021,109.5092699,2
15.75449259,-0.745475968,109.9576877,2
14.75449346,-0.245476471,110.6037895,2
14.25450217,-2.995479942,110.7585311,2
14.2545035,-3.245480221,112.3039551,2
15.00449547,1.754523609,112.7829402,2
15.75449263,-0.995475715,115.976214,2
18.00448117,2.504527667,116.2774444,2
17.25450903,3.50450911,116.4692734,2
11.25448787,-3.745468435,117.5962706,2
15.5044934,-1.245475676,124.0557523,2
14.50449341,-0.245476686,124.4937689,2
14.50449371,-0.49547686,124.7996725,2
12.75450024,-2.245486875,126.1797799,2
11.50448677,-4.245466306,129.1188925,2
15.25449538,1.504523059,129.573977,2
14.5044932,1.004524159,131.2088563,2
12.00451448,-3.995499288,131.7229148,2
15.25449346,0.254523524,131.9692315,2
12.00451691,-4.245500345,133.9590499,2
15.25449602,1.754522961,134.7799913,2
13.50450119,-2.495483138,136.6589933,2
15.50449307,-0.245476348,136.9538208,2
14.75449333,0.004523615,138.0009245,2
13.00450021,-2.245485366,141.5707694,2
15.75449534,1.254521945,144.8409676,2
13.50450409,-2.995484206,145.7519023,2
15.5044941,0.754522953,148.16684,2
15.50449513,1.254522594,148.7554954,2
12.50449862,-1.995487597,149.1004243,2
16.00449468,-2.995473026,149.7497947,2
16.25449739,1.754519504,150.1384958,2
18.254483,3.004529654,150.7887877,2
14.50449308,0.754523993,151.743538,2
13.25451173,-3.995488301,153.2465965,2
15.00449491,1.504523621,153.4881207,2
16.75449345,0.754519703,154.2421598,2
15.00449489,-1.49547637,154.4436646,2
13.50450908,-3.745485821,155.4418226,2
14.75449346,0.754523863,158.7265407,2
15.00449337,0.004523657,158.9696269,2
13.0045017,-2.49548607,160.014117,2
13.5045026,-2.745483671,160.5298734,2
17.50450548,3.004508846,161.2710053,2
18.00448208,1.754524616,162.063373,2
17.00450857,3.504511052,163.0507344,2
14.00449239,0.254523312,163.5160472,2
15.00449341,-0.245476343,164.4278226,2
15.75449299,0.004523262,165.3804934,2
18.25448312,3.254530578,165.9270479,2
15.7544947,1.004522212,166.3722986,2
15.25449367,0.504523435,167.9072462,2
17.25450352,2.754511498,168.1379162,2
16.25449845,2.00451906,168.7040958,2
17.00449883,2.004515299,169.7712375,2
13.00450852,-3.495488901,170.8781534,2
12.50450186,-2.495489347,171.0329614,2
15.25449366,-0.995476054,171.7000478,2
15.75449688,1.754521406,172.1881453,2
14.5044932,0.004523487,178.1398797,2
17.00450498,3.004512474,178.8384385,2
13.25450456,-2.995485801,179.7593954,2
13.75449958,-2.245481356,183.7504753,2
15.00449443,-1.245476361,184.5451224,2
16.50449751,1.754518423,189.5620952,2
14.0045058,-3.495482008,189.9961772,2
14.00450034,-2.495480553,191.3489632,2
12.75450707,-3.245490044,194.0484378,2
14.00450158,-2.745480914,195.5811666,2
14.5044941,1.754524644,196.2693418,2
11.50448623,-3.995467138,198.6067201,2
15.75449329,0.254523002,199.059101,2
15.00449375,-0.745476349,200.2022245,3
15.50449725,-2.995474569,202.9012981,3
14.25449367,2.004525276,203.7772725,3
17.75450761,3.254505935,204.794209,3
17.25450711,3.254509907,205.5483055,3
15.00449376,0.754523647,205.8616888,3
13.50449028,1.50452517,209.9717047,3
14.00450431,-3.245481642,209.9808374,3
17.7545056,3.004506903,211.26358,3
18.00448139,2.254526652,212.2505143,3
15.50449649,1.754522227,213.6910607,3
16.00449217,-0.495476356,214.9736759,3
17.5045074,3.254507964,216.8182315,3
14.75449367,1.004523943,218.4104356,3
13.00450328,-2.745486775,223.4584814,3
18.00448102,3.2545307,223.4761228,3
15.75449276,-1.245475464,225.6230773,3
14.25449277,0.254523528,227.9049749,3
17.00450673,3.254511764,228.5631591,3
14.00449268,0.004522969,240.1489348,3
14.50449303,0.504523826,241.0333806,3
16.50450263,2.754516292,241.3882303,3
14.00450738,-3.745482376,242.1941483,3
11.50448577,-3.74546797,244.1395445,3
13.00451044,-3.745489612,245.0532189,3
16.25449137,-1.745474458,245.7459475,3
13.50450567,-3.245484743,246.2091197,3
13.7544914,1.754525547,246.3047275,3
17.7545097,3.504504966,247.7343724,3
11.75448358,-3.745467593,248.3417972,3
11.75448441,-4.245465757,249.3875426,3
16.50449238,0.254521569,250.0301913,3
16.75450626,3.254513534,250.8345732,3
16.00449204,-0.745476015,252.9808249,3
16.25449551,1.254520387,253.2342406,3
15.75449277,-0.24547648,255.1067738,3
16.7545046,3.004514158,256.7928579,3
14.25449265,0.504523783,257.802512,3
16.00449547,1.254521209,259.8714698,3
13.50449032,1.754525674,261.711537,3
14.75449333,0.504523782,268.6299192,3
16.00449628,1.504520855,271.9494352,3
16.50449302,0.504521049,272.9290417,3
17.00450173,2.50451389,276.5972875,3
14.25449299,0.004523271,277.0151743,3
12.50450361,-2.745490225,280.4163029,3
16.75449533,1.254518483,287.4327507,3
15.25449397,0.754523343,288.2372311,3
16.2544964,1.504519946,289.0052566,3
15.00449611,2.004523595,291.3409152,3
14.75449538,2.004524242,300.9311355,4
14.25450639,-3.745480784,301.6117622,4
13.50451092,-3.995486362,302.878172,4
16.00449717,1.754520498,303.0439795,4
13.75450354,-2.995482699,303.9017149,4
12.25450181,-2.495491116,304.8724587,4
15.50449457,1.004522774,307.4652691,4
18.50448543,3.504531204,308.1021568,4
16.75450801,3.504512908,308.439106,4
14.75449436,1.504524096,311.0211281,4
12.75450899,-3.49549084,311.3984311,4
16.75449263,0.504520311,322.9894744,4
12.50451825,-4.495496408,327.8304861,4
16.50449546,1.254519478,328.7016566,4
13.25450622,-3.245486424,331.026218,4
14.75449483,1.75452417,331.1132415,4
14.75449481,-1.245476833,341.3382279,4
16.50449866,2.004517893,342.8926241,4
15.25449675,2.004522861,346.892676,4
13.75450081,-2.495481802,364.1568743,4
13.25450797,-3.495487048,370.7747178,4
17.2544948,1.254516232,378.1954106,4
16.00449203,-1.245475338,380.0887712,4
13.75450661,-3.495483602,385.7550223,4
13.25450981,-3.745487673,386.8192409,4
17.50450941,3.504507081,395.1853142,4
18.50448514,3.254530368,397.6343648,4
14.25450964,-4.245481353,404.8383524,4
17.00450023,2.254514595,404.9527582,4
13.00450494,-2.995487482,420.9443523,4
13.75449127,1.504525128,461.5557368,4
17.25450185,2.504512291,466.3557792,4
17.25450527,3.004510704,467.0644846,4
14.25449328,1.754525032,493.521651,4
12.00450167,-2.495492971,495.1187058,4
15.75449607,1.504521676,496.9832406,4
13.50450733,-3.495485281,497.7726289,4
14.75449367,-0.495476559,522.4951062,4
14.25449299,1.504524785,527.5505015,4
14.50449371,1.504524484,541.9024815,4
15.75449297,-1.495475214,553.2605938,4
13.75450503,-3.245483149,574.4311088,4
13.75450213,-2.745482249,576.4455587,4
12.25450364,-2.745492079,593.2967903,4
12.50450736,-3.245491984,597.223367,4
14.50449342,1.254524322,706.8302274,4
